year,county,facilityType,vmt,laneMiles,minElast,maxElast
2017,BALTIMORE CITY,Urban Minor Arterial,658,483.216,0.5,0.7
2017,BALTIMORE CITY,Urban Collector (Major and Minor),224,312.258,0.5,0.7
2017,BALTIMORE CITY,Urban Local,234,1677.3459,0.3,0.5
2018,ALLEGANY,Rural Interstate/Freeway/Expressway,181,121.091,0.7,1
2018,ALLEGANY,Rural Primary Arterial - Other,21,19.459999,0.7,1
2018,ALLEGANY,Rural Minor Arterial,18,16.563999,0.5,0.7
2018,ALLEGANY,Rural Collector (Major and Minor),33,208.923,0.5,0.7
2018,ALLEGANY,Rural Local,51,678.172,0.3,0.5
2018,ALLEGANY,Urban Interstate/Freeway/Expressway,173,67.512001,0.7,1
2018,ALLEGANY,Urban Primary Arterial - Other,97,57.206001,0.7,1
2018,ALLEGANY,Urban Minor Arterial,172,137.308,0.5,0.7
2018,ALLEGANY,Urban Collector (Major and Minor),45,122.706,0.5,0.7
2018,ALLEGANY,Urban Local,34,579.58801,0.3,0.5
2018,ANNE ARUNDEL,Rural Interstate/Freeway/Expressway,111,20.040001,0.7,1
2018,ANNE ARUNDEL,Rural Primary Arterial - Other,114,36.470001,0.7,1
2018,ANNE ARUNDEL,Rural Minor Arterial,75,41.084,0.5,0.7
2018,ANNE ARUNDEL,Rural Collector (Major and Minor),56,107.494,0.5,0.7
2018,ANNE ARUNDEL,Rural Local,70,259.69199,0.3,0.5
2018,ANNE ARUNDEL,Urban Interstate/Freeway/Expressway,0,433.35501,0.7,1
2018,ANNE ARUNDEL,Urban Primary Arterial - Other,876,258.57501,0.7,1
2018,ANNE ARUNDEL,Urban Minor Arterial,934,419.30399,0.5,0.7
2018,ANNE ARUNDEL,Urban Collector (Major and Minor),545,518.21997,0.5,0.7
2018,ANNE ARUNDEL,Urban Local,379,2966.1841,0.3,0.5
2018,BALTIMORE,Rural Interstate/Freeway/Expressway,299,58.18,0.7,1
2018,BALTIMORE,Rural Primary Arterial - Other,44,17.705,0.7,1
2018,BALTIMORE,Rural Minor Arterial,66,58.941002,0.5,0.7
2018,BALTIMORE,Rural Collector (Major and Minor),234,324.172,0.5,0.7
2018,BALTIMORE,Rural Local,123,757.02802,0.3,0.5
2018,BALTIMORE,Urban Interstate/Freeway/Expressway,0,638.66302,0.7,1
2018,BALTIMORE,Urban Primary Arterial - Other,0,418.72501,0.7,1
2018,BALTIMORE,Urban Minor Arterial,0,691.53003,0.5,0.7
2018,BALTIMORE,Urban Collector (Major and Minor),698,716.133,0.5,0.7
2018,BALTIMORE,Urban Local,520,3381.7219,0.3,0.5
2018,CALVERT,Rural Interstate/Freeway/Expressway,0,0,0.7,1
2018,CALVERT,Rural Primary Arterial - Other,22,7.9920001,0.7,1
2018,CALVERT,Rural Minor Arterial,0,0,0.5,0.7
2018,CALVERT,Rural Collector (Major and Minor),46,102.162,0.5,0.7
2018,CALVERT,Rural Local,9,413.04999,0.3,0.5
2018,CALVERT,Urban Interstate/Freeway/Expressway,0,0,0.7,1
